text,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity,ontologies,names
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",10,Health,263775005,['7882689'],['qualifier value'],health,health,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",11,System,246333005,['43039974'],['attribute'],system,system,0.47609632624660725,0.47609632624660725,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",12,Classified,73504009,['7882689'],['qualifier value'],classified,classified,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",13,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",14,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",16,Accident and Emergency department,225728007,['75168589'],['environment'],emergency room,emergency~room,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",18,Person,125676002,['31601201'],['person'],persons,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",19,Courses,288524001,['7882689'],['qualifier value'],course,course,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",21,Episode,263503000,['43039974'],['attribute'],episode of,episode~of,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",24,Onset of illness,217315002,['67667581'],['finding'],disease onset,disease~onset,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit.",26,Started,385652002,['7882689'],['qualifier value'],start,start,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",1,"Table, device",86407004,['32816260'],['physical object'],table,table,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",2,Containing,42504009,['7882689'],['qualifier value'],contains,contain,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",3,Times,417929005,['7882689'],['qualifier value'],time,time,0.7854392128598745,0.7854392128598745,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",4,Person,125676002,['31601201'],['person'],person,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",6,Medical service,373655009,['28321150'],['procedure'],medical services,medical~service,0.801627596173287,0.801627596173287,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",9,Treatment given,182991002,['3061879'],['situation'],given,given,0.22205972812071548,0.22205972812071548,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",10,Health,263775005,['7882689'],['qualifier value'],health,health,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",11,System,246333005,['43039974'],['attribute'],system,system,0.47609632624660725,0.47609632624660725,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",12,Classified,73504009,['7882689'],['qualifier value'],classified,classified,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",13,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",14,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",16,Accident and Emergency department,225728007,['75168589'],['environment'],emergency room,emergency~room,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",18,Person,125676002,['31601201'],['person'],persons,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",19,Courses,288524001,['7882689'],['qualifier value'],course,course,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",21,Episode,263503000,['43039974'],['attribute'],episode of,episode~of,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",24,Onset of illness,217315002,['67667581'],['finding'],disease onset,disease~onset,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",27,Date AND time of day (property),118575009,['7882689'],['qualifier value'],date and time,date~and~time,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started.",29,Started,385652002,['7882689'],['qualifier value'],started,started,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_start_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",1,"Table, device",86407004,['32816260'],['physical object'],table,table,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",2,Containing,42504009,['7882689'],['qualifier value'],contains,contain,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",3,Times,417929005,['7882689'],['qualifier value'],time,time,0.7854392128598745,0.7854392128598745,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",4,Person,125676002,['31601201'],['person'],person,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",6,Medical service,373655009,['28321150'],['procedure'],medical services,medical~service,0.801627596173287,0.801627596173287,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",9,Treatment given,182991002,['3061879'],['situation'],given,given,0.22205972812071548,0.22205972812071548,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",10,Health,263775005,['7882689'],['qualifier value'],health,health,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",11,System,246333005,['43039974'],['attribute'],system,system,0.47609632624660725,0.47609632624660725,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",12,Classified,73504009,['7882689'],['qualifier value'],classified,classified,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",13,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",14,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",16,Accident and Emergency department,225728007,['75168589'],['environment'],emergency room,emergency~room,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",18,Person,125676002,['31601201'],['person'],persons,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",19,Courses,288524001,['7882689'],['qualifier value'],course,course,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",21,Episode,263503000,['43039974'],['attribute'],episode of,episode~of,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",24,Onset of illness,217315002,['67667581'],['finding'],disease onset,disease~onset,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",29,"Matches, device",33336008,['32816260'],['physical object'],match,match,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date.",30,Started,385652002,['7882689'],['qualifier value'],start,start,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_date
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",1,"Table, device",86407004,['32816260'],['physical object'],table,table,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",2,Containing,42504009,['7882689'],['qualifier value'],contains,contain,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",3,Times,417929005,['7882689'],['qualifier value'],time,time,0.7854392128598745,0.7854392128598745,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",4,Person,125676002,['31601201'],['person'],person,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",6,Medical service,373655009,['28321150'],['procedure'],medical services,medical~service,0.801627596173287,0.801627596173287,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",9,Treatment given,182991002,['3061879'],['situation'],given,given,0.22205972812071548,0.22205972812071548,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",10,Health,263775005,['7882689'],['qualifier value'],health,health,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",11,System,246333005,['43039974'],['attribute'],system,system,0.47609632624660725,0.47609632624660725,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",12,Classified,73504009,['7882689'],['qualifier value'],classified,classified,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",13,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",14,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",16,Accident and Emergency department,225728007,['75168589'],['environment'],emergency room,emergency~room,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",18,Person,125676002,['31601201'],['person'],persons,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",19,Courses,288524001,['7882689'],['qualifier value'],course,course,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",21,Episode,263503000,['43039974'],['attribute'],episode of,episode~of,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",24,Onset of illness,217315002,['67667581'],['finding'],disease onset,disease~onset,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end.",27,Date AND time of day (property),118575009,['7882689'],['qualifier value'],date and time,date~and~time,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_end_datetime
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.",1,"Table, device",86407004,['32816260'],['physical object'],table,table,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_type_concept_id
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.",2,Containing,42504009,['7882689'],['qualifier value'],contains,contain,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_type_concept_id
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.",3,Times,417929005,['7882689'],['qualifier value'],time,time,0.7854392128598745,0.7854392128598745,['SNOMED-CT'],visit_occurrence_visit_type_concept_id
"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.",4,Person,125676002,['31601201'],['person'],person,person,1.0,1.0,['SNOMED-CT'],visit_occurrence_visit_type_concept_id
